id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA086;IPA 22-48;rue_emile_poillot;BFr;2022;04/05/2022;;;;;;;;;;1,5;;;2,5;;;;;;;;;;;1;0,5;;;;;;;;;;;;4;;;;;;;;;;5,5;;0,5;1;1;;;
IPA087;IPA 22-49;rue_grande_fin;BFr;2022;02/05/2022;;;;;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;2,5;;;;1;;;0,5;;;;
IPA088;IPA 22-50;rue_des_violettes;BFr;2022;05/05/2022;;;;;;;;;;2;;0,5;3;;;;;;;;;;;1;;;;;;;1;;;;;;2;;;;;1;;;;;3,5;;0,5;1,5;;;;
IPA089;IPA 22-51;rue_de_la_saone;BFr;2022;02/05/2022;;;;;;;;;;3;;1;2;;;;;;;;;;;2;;;;;;;3;;;;;;1,5;2;;;;2;1;;;;2;;;1;1,5;;;
IPA090;IPA 22-52;allee_du_ranelagh;BFr;2022;02/05/2022;;;;;;;;;;1,5;;;1,,5;;;;;1;;;;;;;;;;;;;2;;;;;;2,5;;2;;;;0,5;;1;0,5;3;;;1;0,5;;;
IPA091;IPA 22-53;rue_edouard_herriot;BFr;2022;04/05/2022;;;;;;;;;;3;;;3;;;;;0,5;;;;;;1,5;1;;;;;;2;;;;;;2;1;1;;;1;;;;1;1,5;;1;1,5;;0,5;2;
IPA092;IPA 22-54;angle_des_roses_lorraine;BFr;2022;07/05/2022;;;;;;;;;;2;;2,5;2;;;;;;;;;;0,5;;;;;;;;;;;;;;1,5;1;;;;;;;;;3;;;1;;;;
IPA093;IPA 22-55;rue_des_fassoles;BFr;2022;05/05/2022;;;;;;;;;;2,5;;;;;;;;1;;;;;;;1;;;;;;3;;;;;;3;;2;;;3;;;;1;1,5;;0,5;0,5;;;0,5;
IPA094;IPA 22-56;avenue_du_lac;BFr;2022;12/05/2022;;;;;;;;;;2;;3,5;1;;;;;1,5;;;;;;;;;;;;;;;;;;;2,5;;;;;;;1;;;6;;2;1;;;;
IPA095;IPA 22-57;lycee_notre_dame;BFr;2022;05/05/2022;;;;;;;;;;2,5;;2,5;2;;;;;0,5;;;;;;;;;;;;;1;;;;;;1,5;1;;;;1;4;;;;0,5;;2;1;;1;;
IPA096;IPA 22-58;rue_dalsace;BFr;2022;07/05/2022;;;;;;;;;0,5;1;;;1,5;;;;;2,5;;;;;2,5;;;;;;;;;;;;;;1;1;;;;1;;;;;8;;1,5;1,5;;;;
